RUN run_20251211_163949 result=death duration=302.35 level=14 xp=5302 damageTaken=160
KILLS bat=249,bat_elite=15,plant=107,plant_elite=11,skeleton=331,skeleton_elite=18
PICKUPS bomb=2,chest_xp=39,chicken=2,magnet=1
LEVEL_TIMES 2@33.74,3@56.68,4@69.50,5@84.02,6@84.02,7@91.86,8@99.27,9@100.12,10@101.67,11@105.78,12@132.81,13@196.88,14@245.65
EVENT t=0.00 run_start runId=run_20251211_163949
EVENT t=2.14 kill elite=false,kind=skeleton
EVENT t=3.93 kill elite=false,kind=skeleton
EVENT t=10.96 kill elite=false,kind=skeleton
EVENT t=18.20 kill elite=false,kind=skeleton
EVENT t=19.41 kill elite=false,kind=skeleton
EVENT t=23.00 kill elite=false,kind=skeleton
EVENT t=25.38 kill elite=false,kind=skeleton
EVENT t=27.73 kill elite=false,kind=skeleton
EVENT t=30.13 kill elite=false,kind=skeleton
EVENT t=32.52 kill elite=false,kind=skeleton
EVENT t=33.70 kill elite=false,kind=bat
EVENT t=33.74 level_up level=2
EVENT t=33.74 upgrade key=wand,level=2,type=weapon
EVENT t=34.02 player_hit dmg=10,hp=90
EVENT t=34.90 kill elite=false,kind=bat
EVENT t=36.09 kill elite=false,kind=bat
EVENT t=37.09 kill elite=false,kind=bat
EVENT t=38.19 kill elite=false,kind=bat
EVENT t=39.33 kill elite=false,kind=bat
EVENT t=40.34 kill elite=false,kind=bat
EVENT t=41.54 kill elite=false,kind=bat
EVENT t=42.57 kill elite=false,kind=bat
EVENT t=43.55 kill elite=false,kind=bat
EVENT t=44.66 kill elite=false,kind=bat
EVENT t=45.78 kill elite=false,kind=bat
EVENT t=46.89 kill elite=false,kind=bat
EVENT t=48.01 kill elite=false,kind=bat
EVENT t=49.04 kill elite=false,kind=bat
EVENT t=50.07 kill elite=false,kind=bat
EVENT t=51.19 kill elite=false,kind=bat
EVENT t=52.34 kill elite=false,kind=skeleton
EVENT t=53.47 kill elite=false,kind=bat
EVENT t=54.56 kill elite=false,kind=bat
EVENT t=55.56 kill elite=false,kind=bat
EVENT t=56.60 kill elite=false,kind=bat
EVENT t=56.68 level_up level=3
EVENT t=56.68 upgrade key=fire_wand,level=1,type=weapon
EVENT t=56.85 kill elite=false,kind=bat
EVENT t=57.18 player_hit dmg=10,hp=80
EVENT t=57.59 kill elite=false,kind=bat
EVENT t=57.61 kill elite=false,kind=bat
EVENT t=57.68 player_hit dmg=10,hp=70
EVENT t=58.18 player_hit dmg=10,hp=60
EVENT t=58.51 kill elite=false,kind=bat
EVENT t=58.74 kill elite=false,kind=bat
EVENT t=59.48 kill elite=false,kind=bat
EVENT t=59.90 kill elite=false,kind=bat
EVENT t=60.43 kill elite=false,kind=skeleton
EVENT t=60.99 kill elite=false,kind=bat
EVENT t=61.33 kill elite=false,kind=bat
EVENT t=62.04 kill elite=false,kind=bat
EVENT t=62.22 kill elite=false,kind=bat
EVENT t=63.13 kill elite=false,kind=bat
EVENT t=63.93 kill elite=false,kind=bat
EVENT t=64.18 kill elite=false,kind=bat
EVENT t=64.51 kill elite=false,kind=skeleton
EVENT t=64.91 kill elite=false,kind=bat
EVENT t=65.39 kill elite=false,kind=skeleton
EVENT t=65.82 kill elite=false,kind=bat
EVENT t=66.51 kill elite=false,kind=skeleton
EVENT t=66.86 kill elite=false,kind=bat
EVENT t=67.66 kill elite=false,kind=bat
EVENT t=68.59 kill elite=false,kind=skeleton
EVENT t=69.39 kill elite=false,kind=bat
EVENT t=69.50 level_up level=4
EVENT t=69.50 upgrade key=dagger,level=1,type=weapon
EVENT t=69.73 kill elite=false,kind=skeleton
EVENT t=70.14 kill elite=false,kind=bat
EVENT t=70.36 kill elite=false,kind=bat
EVENT t=70.82 kill elite=false,kind=skeleton
EVENT t=71.32 kill elite=false,kind=skeleton
EVENT t=71.43 kill elite=false,kind=bat
EVENT t=71.93 kill elite=false,kind=skeleton
EVENT t=72.34 kill elite=false,kind=skeleton
EVENT t=72.91 kill elite=false,kind=bat
EVENT t=73.08 kill elite=false,kind=bat
EVENT t=73.33 kill elite=false,kind=skeleton
EVENT t=73.36 kill elite=false,kind=skeleton
EVENT t=73.50 kill elite=false,kind=skeleton
EVENT t=74.07 kill elite=false,kind=skeleton
EVENT t=74.62 kill elite=false,kind=skeleton
EVENT t=74.98 kill elite=false,kind=skeleton
EVENT t=75.76 kill elite=false,kind=skeleton
EVENT t=75.80 kill elite=false,kind=skeleton
EVENT t=76.14 kill elite=false,kind=skeleton
EVENT t=76.23 kill elite=false,kind=skeleton
EVENT t=76.45 kill elite=false,kind=bat
EVENT t=76.68 kill elite=false,kind=bat
EVENT t=77.07 kill elite=false,kind=bat
EVENT t=77.37 kill elite=false,kind=bat
EVENT t=77.89 kill elite=false,kind=skeleton
EVENT t=78.31 kill elite=false,kind=skeleton
EVENT t=78.54 kill elite=false,kind=skeleton
EVENT t=78.62 kill elite=false,kind=skeleton
