RUN run_20251211_181554 result=death duration=344.14 level=9 xp=338 damageTaken=160
KILLS bat=280,bat_elite=1,plant=112,skeleton=145,skeleton_elite=2
PICKUPS chest_reward=3,chicken=2
LEVEL_TIMES 2@29.07,3@38.78,4@51.68,5@58.96,6@67.18,7@88.51,8@124.65,9@242.69
EVENT t=0.00 run_start runId=run_20251211_181554
EVENT t=2.26 kill elite=false,kind=skeleton
EVENT t=5.04 kill elite=false,kind=skeleton
EVENT t=7.42 kill elite=false,kind=skeleton
EVENT t=9.81 kill elite=false,kind=skeleton
EVENT t=13.42 kill elite=false,kind=skeleton
EVENT t=15.82 kill elite=false,kind=skeleton
EVENT t=18.20 kill elite=false,kind=skeleton
EVENT t=20.56 kill elite=false,kind=skeleton
EVENT t=21.90 kill elite=false,kind=skeleton
EVENT t=24.19 kill elite=false,kind=skeleton
EVENT t=26.02 player_hit dmg=10,hp=90
EVENT t=26.61 kill elite=false,kind=skeleton
EVENT t=29.01 kill elite=false,kind=skeleton
EVENT t=29.07 level_up level=2
EVENT t=29.07 upgrade key=dagger,level=1,type=weapon
EVENT t=29.63 kill elite=false,kind=skeleton
EVENT t=30.31 kill elite=false,kind=skeleton
EVENT t=30.83 kill elite=false,kind=skeleton
EVENT t=31.46 kill elite=false,kind=skeleton
EVENT t=31.75 kill elite=false,kind=skeleton
EVENT t=32.17 kill elite=false,kind=skeleton
EVENT t=32.70 kill elite=false,kind=skeleton
EVENT t=33.22 kill elite=false,kind=skeleton
EVENT t=33.77 kill elite=false,kind=skeleton
EVENT t=33.94 kill elite=false,kind=skeleton
EVENT t=34.42 kill elite=false,kind=bat
EVENT t=34.69 kill elite=false,kind=bat
EVENT t=35.06 kill elite=false,kind=bat
EVENT t=35.34 kill elite=false,kind=skeleton
EVENT t=36.07 kill elite=false,kind=skeleton
EVENT t=36.43 kill elite=false,kind=skeleton
EVENT t=36.72 kill elite=false,kind=bat
EVENT t=37.13 kill elite=false,kind=bat
EVENT t=37.45 kill elite=false,kind=skeleton
EVENT t=37.87 kill elite=false,kind=bat
EVENT t=38.29 kill elite=false,kind=bat
EVENT t=38.75 kill elite=false,kind=skeleton
EVENT t=38.78 level_up level=3
EVENT t=38.78 upgrade key=static_orb,level=1,type=weapon
