RUN run_20251211_183818 result=death duration=147.19 level=7 xp=149 damageTaken=100
KILLS bat=98,bat_elite=4,plant=13,skeleton=91
PICKUPS chest_reward=3,magnet=2
LEVEL_TIMES 2@23.06,3@40.44,4@64.74,5@73.49,6@77.31,7@122.61
EVENT t=0.00 run_start runId=run_20251211_183818
EVENT t=2.23 kill elite=false,kind=skeleton
EVENT t=5.14 kill elite=false,kind=skeleton
EVENT t=7.42 kill elite=false,kind=skeleton
EVENT t=9.81 kill elite=false,kind=skeleton
EVENT t=12.19 kill elite=false,kind=skeleton
EVENT t=13.37 kill elite=false,kind=skeleton
EVENT t=15.74 kill elite=false,kind=skeleton
EVENT t=19.35 kill elite=false,kind=skeleton
EVENT t=20.65 kill elite=false,kind=skeleton
EVENT t=22.98 kill elite=false,kind=skeleton
EVENT t=23.06 level_up level=2
EVENT t=23.06 upgrade key=fire_wand,level=1,type=weapon
EVENT t=23.16 kill elite=false,kind=skeleton
EVENT t=24.17 kill elite=false,kind=skeleton
EVENT t=25.01 kill elite=false,kind=skeleton
EVENT t=25.96 kill elite=false,kind=skeleton
EVENT t=26.73 kill elite=false,kind=skeleton
EVENT t=26.94 kill elite=false,kind=skeleton
EVENT t=27.82 kill elite=false,kind=skeleton
EVENT t=28.66 kill elite=false,kind=skeleton
EVENT t=29.73 kill elite=false,kind=skeleton
EVENT t=30.62 kill elite=false,kind=skeleton
EVENT t=31.40 kill elite=false,kind=skeleton
EVENT t=32.37 kill elite=false,kind=skeleton
EVENT t=33.37 kill elite=false,kind=skeleton
EVENT t=34.22 kill elite=false,kind=skeleton
EVENT t=34.90 kill elite=false,kind=bat
EVENT t=36.01 kill elite=false,kind=bat
EVENT t=36.46 kill elite=false,kind=bat
EVENT t=36.89 kill elite=false,kind=bat
EVENT t=37.71 kill elite=false,kind=bat
EVENT t=38.69 kill elite=false,kind=bat
EVENT t=39.55 kill elite=false,kind=bat
EVENT t=39.81 kill elite=false,kind=bat
EVENT t=40.44 level_up level=3
EVENT t=40.44 upgrade key=static_orb,level=1,type=weapon
EVENT t=40.48 kill elite=false,kind=skeleton
EVENT t=41.06 kill elite=false,kind=bat
EVENT t=41.28 kill elite=false,kind=bat
EVENT t=41.91 kill elite=false,kind=bat
EVENT t=42.32 kill elite=false,kind=skeleton
EVENT t=43.04 kill elite=false,kind=bat
EVENT t=43.36 kill elite=false,kind=bat
EVENT t=43.90 kill elite=false,kind=bat
EVENT t=44.60 kill elite=false,kind=bat
EVENT t=44.99 kill elite=false,kind=bat
EVENT t=46.06 kill elite=false,kind=skeleton
EVENT t=46.74 kill elite=false,kind=bat
EVENT t=47.19 kill elite=false,kind=bat
EVENT t=47.81 kill elite=false,kind=bat
EVENT t=48.56 kill elite=false,kind=skeleton
EVENT t=49.39 kill elite=false,kind=bat
EVENT t=50.31 kill elite=false,kind=bat
EVENT t=51.03 kill elite=false,kind=skeleton
EVENT t=51.45 kill elite=false,kind=skeleton
EVENT t=52.06 kill elite=false,kind=skeleton
EVENT t=52.26 kill elite=false,kind=skeleton
EVENT t=53.02 kill elite=false,kind=bat
EVENT t=53.98 kill elite=false,kind=bat
EVENT t=54.49 kill elite=false,kind=skeleton
EVENT t=54.93 kill elite=false,kind=skeleton
EVENT t=55.55 kill elite=false,kind=bat
EVENT t=55.83 kill elite=false,kind=skeleton
EVENT t=56.73 kill elite=false,kind=skeleton
EVENT t=57.42 kill elite=false,kind=bat
EVENT t=58.26 kill elite=false,kind=skeleton
EVENT t=58.60 kill elite=false,kind=skeleton
EVENT t=58.60 kill elite=false,kind=skeleton
EVENT t=59.35 kill elite=false,kind=bat
EVENT t=60.05 kill elite=false,kind=skeleton
EVENT t=60.24 kill elite=false,kind=skeleton
EVENT t=61.22 kill elite=false,kind=skeleton
EVENT t=61.47 kill elite=false,kind=bat
EVENT t=61.90 kill elite=false,kind=bat
EVENT t=62.04 kill elite=false,kind=skeleton
EVENT t=62.63 kill elite=false,kind=bat
EVENT t=62.89 kill elite=false,kind=bat
EVENT t=63.18 kill elite=false,kind=bat
EVENT t=63.94 kill elite=false,kind=skeleton
EVENT t=64.74 level_up level=4
EVENT t=64.74 upgrade key=ice_ring,level=1,type=weapon
EVENT t=65.59 kill elite=false,kind=skeleton
EVENT t=66.49 kill elite=false,kind=skeleton
EVENT t=67.25 kill elite=false,kind=skeleton
EVENT t=67.33 kill elite=false,kind=skeleton
EVENT t=67.56 kill elite=false,kind=bat
EVENT t=68.10 kill elite=false,kind=bat
EVENT t=69.33 kill elite=false,kind=plant
EVENT t=70.11 kill elite=false,kind=skeleton
EVENT t=71.00 kill elite=false,kind=bat
EVENT t=72.26 kill elite=false,kind=plant
EVENT t=72.86 kill elite=false,kind=bat
EVENT t=73.22 pickup kind=magnet
EVENT t=73.49 level_up level=5
EVENT t=73.49 upgrade key=heavy_hammer,level=1,type=weapon
EVENT t=73.70 kill elite=false,kind=skeleton
EVENT t=73.83 kill elite=false,kind=skeleton
EVENT t=74.40 kill elite=false,kind=bat
EVENT t=74.99 player_hit dmg=10,hp=90
EVENT t=75.53 kill elite=false,kind=plant
EVENT t=75.77 player_hit dmg=10,hp=80
EVENT t=75.80 kill elite=false,kind=skeleton
EVENT t=76.35 kill elite=false,kind=bat
EVENT t=77.24 player_hit dmg=10,hp=70
EVENT t=77.26 kill elite=false,kind=skeleton
EVENT t=77.26 kill elite=false,kind=skeleton
EVENT t=77.26 kill elite=false,kind=skeleton
EVENT t=77.31 level_up level=6
EVENT t=77.31 upgrade key=garlic,level=1,type=weapon
EVENT t=77.81 kill elite=false,kind=plant
EVENT t=78.22 kill elite=false,kind=bat
EVENT t=78.27 kill elite=false,kind=skeleton
EVENT t=78.77 player_hit dmg=10,hp=60
EVENT t=79.76 kill elite=false,kind=bat
EVENT t=79.78 kill elite=false,kind=skeleton
EVENT t=80.10 kill elite=false,kind=plant
EVENT t=80.77 kill elite=false,kind=skeleton
EVENT t=81.04 kill elite=false,kind=skeleton
EVENT t=81.74 kill elite=false,kind=bat
EVENT t=81.92 kill elite=false,kind=skeleton
EVENT t=82.82 kill elite=false,kind=skeleton
EVENT t=83.24 kill elite=false,kind=skeleton
EVENT t=83.69 kill elite=false,kind=bat
EVENT t=84.19 kill elite=false,kind=bat
EVENT t=84.64 kill elite=false,kind=skeleton
EVENT t=85.56 kill elite=false,kind=bat
EVENT t=85.74 kill elite=false,kind=bat
EVENT t=86.43 kill elite=false,kind=skeleton
EVENT t=87.11 player_hit dmg=10,hp=50
EVENT t=87.86 kill elite=false,kind=skeleton
EVENT t=88.29 kill elite=false,kind=bat
EVENT t=89.25 kill elite=false,kind=skeleton
EVENT t=89.36 kill elite=false,kind=skeleton
EVENT t=90.11 kill elite=false,kind=skeleton
EVENT t=90.93 kill elite=false,kind=bat
EVENT t=92.08 kill elite=false,kind=skeleton
EVENT t=92.32 pickup kind=magnet
EVENT t=92.95 kill elite=false,kind=bat
EVENT t=93.70 kill elite=false,kind=bat
EVENT t=94.21 kill elite=false,kind=bat
EVENT t=96.42 kill elite=false,kind=bat
EVENT t=98.20 kill elite=false,kind=bat
EVENT t=98.31 kill elite=false,kind=plant
EVENT t=98.74 kill elite=false,kind=bat
EVENT t=99.23 kill elite=false,kind=bat
EVENT t=99.69 kill elite=false,kind=bat
EVENT t=100.13 kill elite=false,kind=skeleton
EVENT t=100.97 kill elite=false,kind=skeleton
EVENT t=101.98 kill elite=false,kind=plant
EVENT t=104.10 kill elite=false,kind=plant
EVENT t=104.92 kill elite=false,kind=plant
EVENT t=105.90 kill elite=false,kind=bat
EVENT t=106.41 kill elite=false,kind=skeleton
EVENT t=108.19 kill elite=false,kind=plant
EVENT t=108.22 kill elite=false,kind=bat
EVENT t=109.02 kill elite=false,kind=skeleton
EVENT t=109.72 kill elite=false,kind=bat
EVENT t=110.80 kill elite=false,kind=bat
EVENT t=111.65 kill elite=false,kind=bat
EVENT t=111.87 kill elite=false,kind=bat
EVENT t=112.09 kill elite=false,kind=bat
EVENT t=112.63 kill elite=false,kind=skeleton
EVENT t=113.15 kill elite=false,kind=bat
EVENT t=113.90 kill elite=false,kind=skeleton
EVENT t=114.80 kill elite=false,kind=bat
EVENT t=116.13 kill elite=false,kind=plant
EVENT t=116.22 kill elite=false,kind=skeleton
EVENT t=117.24 kill elite=false,kind=skeleton
EVENT t=117.99 kill elite=false,kind=bat
EVENT t=118.92 kill elite=false,kind=skeleton
EVENT t=119.19 kill elite=false,kind=bat
EVENT t=119.80 kill elite=false,kind=skeleton
EVENT t=122.61 level_up level=7
EVENT t=122.61 upgrade key=wand,level=2,type=weapon
EVENT t=123.35 kill elite=true,kind=bat
EVENT t=125.05 kill elite=false,kind=bat
EVENT t=125.18 kill elite=false,kind=bat
EVENT t=125.43 player_hit dmg=10,hp=40
EVENT t=125.82 pickup kind=chest_reward
EVENT t=125.82 upgrade key=oil_bottle,level=1,type=weapon
EVENT t=126.00 kill elite=false,kind=skeleton
EVENT t=127.06 kill elite=false,kind=skeleton
EVENT t=127.50 kill elite=false,kind=skeleton
EVENT t=127.87 kill elite=false,kind=plant
EVENT t=128.39 kill elite=false,kind=skeleton
EVENT t=128.77 player_hit dmg=10,hp=30
EVENT t=128.87 kill elite=false,kind=bat
EVENT t=129.50 kill elite=false,kind=bat
EVENT t=129.57 kill elite=false,kind=skeleton
EVENT t=129.72 kill elite=false,kind=skeleton
EVENT t=129.85 kill elite=false,kind=skeleton
EVENT t=130.40 kill elite=false,kind=bat
EVENT t=130.60 kill elite=false,kind=skeleton
EVENT t=130.63 kill elite=false,kind=bat
EVENT t=131.37 kill elite=false,kind=skeleton
EVENT t=131.57 kill elite=false,kind=bat
EVENT t=131.72 kill elite=false,kind=skeleton
EVENT t=131.96 kill elite=false,kind=skeleton
EVENT t=132.50 kill elite=false,kind=bat
EVENT t=132.67 kill elite=false,kind=bat
EVENT t=133.36 kill elite=false,kind=bat
EVENT t=133.64 kill elite=false,kind=bat
EVENT t=134.32 kill elite=false,kind=bat
EVENT t=134.51 kill elite=false,kind=skeleton
EVENT t=134.71 kill elite=false,kind=bat
EVENT t=135.87 kill elite=false,kind=bat
EVENT t=136.11 kill elite=false,kind=bat
EVENT t=137.02 kill elite=false,kind=bat
EVENT t=137.07 kill elite=false,kind=bat
EVENT t=137.71 kill elite=false,kind=bat
EVENT t=137.90 kill elite=false,kind=bat
EVENT t=138.49 kill elite=false,kind=bat
EVENT t=141.18 kill elite=false,kind=bat
EVENT t=141.98 kill elite=true,kind=bat
EVENT t=142.41 kill elite=true,kind=bat
EVENT t=143.28 kill elite=false,kind=bat
EVENT t=143.68 kill elite=false,kind=bat
EVENT t=143.73 player_hit dmg=10,hp=20
EVENT t=144.05 kill elite=false,kind=plant
EVENT t=144.05 kill elite=false,kind=bat
EVENT t=144.06 kill elite=false,kind=bat
EVENT t=144.06 kill elite=false,kind=bat
EVENT t=144.19 pickup kind=chest_reward
EVENT t=144.19 upgrade key=boots,level=1,type=passive
EVENT t=144.23 player_hit dmg=10,hp=10
EVENT t=144.34 kill elite=false,kind=bat
EVENT t=144.41 kill elite=false,kind=bat
EVENT t=144.77 kill elite=false,kind=bat
EVENT t=145.07 kill elite=false,kind=bat
EVENT t=145.59 kill elite=false,kind=bat
EVENT t=146.12 kill elite=true,kind=bat
EVENT t=146.95 kill elite=false,kind=bat
EVENT t=146.95 pickup kind=chest_reward
EVENT t=146.95 upgrade key=static_orb,level=2,type=weapon
EVENT t=147.07 kill elite=false,kind=bat
EVENT t=147.19 player_hit dmg=10,hp=0
EVENT t=147.19 run_end reason=death
